94,"1"" MINUS (FISCHER QUARRY)",0,"1"" MINUS","1"" MINUS (FISCHER QUARRY",source,,,material,0
95,"1/2"" CLEAN (SEMO)",0,"1/2"" CLEAN","1/2"" CLEAN (SEMO",source,,,material,0
96,CLEAN UP,0,CLEAN UP,,,,,material,0
97,"2"" MINUS (CC)",0,"2"" MINUS","2"" MINUS (CC",source,,,material,0
98,"1"" BASE",0,"1"" BASE",,,,,material,0
99,HOURLY (MAINTENANCE),0,HOURLY,HOURLY (MAINTENANCE,hourly_context,,,hourly_family,0
100,FILL SAND,0,FILL SAND,,,,,material,0
101,AGLIME (SPREADING AND HAULING),0,AGLIME,AGLIME (SPREADING AND HAULING,service,,,service_in_name,0
103,"3/8"" CLEAN 3/4"" CLEAN",0,"3/8"" CLEAN 3/4"" CLEAN",,,,,material,0
104,"3"" CLEAN (WS)",0,"3"" CLEAN","3"" CLEAN (WS",source,,,material,0
106,PEA GRAVEL (DEXTER SAND),0,PEA GRAVEL,PEA GRAVEL (DEXTER SAND,source,,,material,0
107,"1"" WHITE BASE (WS)",0,"1"" WHITE BASE","1"" WHITE BASE (WS",source,,,material,0
108,WASTE ROCK,0,WASTE ROCK,,,,,material,0
109,"1"" MINUS (STOCKPILE)",0,"1"" MINUS","1"" MINUS (STOCKPILE",source,,,material,0
110,"2"" BASE (CAPITAL)",0,"2"" BASE","2"" BASE (CAPITAL",source,,,material,0
111,"3"" MINUS (WS)",0,"3"" MINUS","3"" MINUS (WS",source,,,material,0
112,MULCH,0,MULCH,,,,,material,0
113,HOURLY (GABION STONE),0,HOURLY,HOURLY (GABION STONE,hourly_context,,,hourly_family,0
114,FILL SAND (WS),0,FILL SAND,FILL SAND (WS,source,,,material,0
115,HOURLY (MOVING),0,HOURLY,HOURLY (MOVING,hourly_context,,,hourly_family,0
116,ASPHALT (FRUITLAND),0,ASPHALT,ASPHALT (FRUITLAND,source,,,material,0
117,"1"" MINUS GRAY (ARAB)",0,"1"" MINUS GRAY","1"" MINUS GRAY (ARAB",source,,,material,0
118,LANDSCAPE BLEND (BRENDA) 1 1/8,0,LANDSCAPE BLEND,LANDSCAPE BLEND (BRENDA,source,,,material,0
119,MILLINGS,0,MILLINGS,,,,,material,0
120,HOURLY (SHOULDERS),0,HOURLY,HOURLY (SHOULDERS,hourly_context,,,hourly_family,0
121,HOURLY (DRY ROCK),0,HOURLY,HOURLY (DRY ROCK,hourly_context,,,hourly_family,0
122,HOURLY (PLANTMOVE),0,HOURLY,HOURLY (PLANTMOVE,hourly_context,,,hourly_family,0
123,HOURLY (BUSTED CONCRETE),0,HOURLY,HOURLY (BUSTED CONCRETE,hourly_context,,,hourly_family,0
124,MILLINGS ESS PLANT SITE 25,0,MILLINGS ESS PLANT SITE 25,,,,,material,0
125,"FR 1/4"" MINUS (SEMO)",0,"FR 1/4"" MINUS","FR 1/4"" MINUS (SEMO",source,,,material,0
127,"FR 1/2"" (SEMO)",0,"FR 1/2""","FR 1/2"" (SEMO",source,,,material,0
128,OVERSIZE LANDSCAPE GRAVEL,0,OVERSIZE LANDSCAPE GRAVEL,,,,,material,0
129,WASTE CONCRETE (SEMO CONCRETE),0,WASTE CONCRETE,WASTE CONCRETE (SEMO CONCRETE,source,,,material,0
130,HOURLY (ROCK),0,HOURLY,HOURLY (ROCK,hourly_context,,,hourly_family,0
131,PLANT MOVE,0,PLANT MOVE,,,,,material,0
132,SHOW UP,0,SHOW UP,,,,,material,0
133,HOURLY (PATCHES),0,HOURLY,HOURLY (PATCHES,hourly_context,,,hourly_family,0
134,AGLIME (HEARTLAND),0,AGLIME,AGLIME (HEARTLAND,source,,,material,0
135,DIRT (SAND PIT),0,DIRT,DIRT (SAND PIT,source,,,material,0
136,"6"" MINUS/HAULING ONLY",0,"6"" MINUS/HAULING ONLY",,,,,service_in_name,0
137,SKID STEER WORK,0,SKID STEER WORK,,,,,material,0
138,RAP,0,RAP,,,,,material,0
139,ROCK (CANE CREEK),0,ROCK,ROCK (CANE CREEK,source,,,material,0
140,PERMIT,0,PERMIT,,,,,material,0
141,50# RIP RAP (WS),0,50# RIP RAP,50# RIP RAP (WS,source,,,material,0
142,"3/4""",0,"3/4""",,,,,material,0
143,"3/8""",0,"3/8""",,,,,material,0
144,SCREENINGS,0,SCREENINGS,,,,,material,0
145,"1/5"" BASE (WS)",0,"1/5"" BASE","1/5"" BASE (WS",source,,,material,0
146,"1"" MINUS (SEMO STONE)",0,"1"" MINUS","1"" MINUS (SEMO STONE",source,,,material,0
147,TYPE 1/5 BASE (WS),0,TYPE 1/5 BASE,TYPE 1/5 BASE (WS,source,,,material,0
148,HOURLY (ENTRANCES),0,HOURLY,HOURLY (ENTRANCES,hourly_context,,,hourly_family,0
149,ASPAHLT SAND (STATE),0,ASPAHLT SAND,ASPAHLT SAND (STATE,source,,,material,0
150,ASPAHLT SAND (STATE) (BRENDA KAY),0,ASPAHLT SAND,ASPAHLT SAND (STATE,source,(BRENDA KAY,source,material,0
151,AGLIME (WS) (SPREADING AND HAULING),0,AGLIME,AGLIME (WS,source,(SPREADING AND HAULING,service,material,0
152,ASPAHLT,0,ASPAHLT,,,,,material,0
153,HOURLY (OVER 20 TON),0,HOURLY,HOURLY (OVER 20 TON,hourly_context,,,hourly_family,0
154,HOURLY (UNDER 18 TON),0,HOURLY,HOURLY (UNDER 18 TON,hourly_context,,,hourly_family,0
155,AGLIME (HEARTLAND) (VBR),0,AGLIME,AGLIME (HEARTLAND,source,(VBR,source,material,0
156,AGLIME (SPREADING AND HAULING) (STRAIGHT),0,AGLIME,AGLIME (SPREADING AND HAULING,service,(STRAIGHT,source,material,0
158,AGLIME (SCAGGS),0,AGLIME,AGLIME (SCAGGS,source,,,material,0
159,"1"" WHITE COMM BASE (WS)",0,"1"" WHITE COMM BASE","1"" WHITE COMM BASE (WS",source,,,material,0
160,"GABION 4-6""",0,"GABION 4-6""",,,,,material,0
161,ROCK (BASE ROCK),0,ROCK,ROCK (BASE ROCK,source,,,material,0
162,ROCK (BUTLER),0,ROCK,ROCK (BUTLER,source,,,material,0
163,ROCK (STOCKPILE),0,ROCK,ROCK (STOCKPILE,source,,,material,0
164,MORTAR SAND (BRENDAKAY),0,MORTAR SAND,MORTAR SAND (BRENDAKAY,source,,,material,0
165,ASPHALT (DELTA),0,ASPHALT,ASPHALT (DELTA,source,,,material,0
166,HOURLY DIRT,0,HOURLY DIRT,,,,,hourly_family,0
167,PERMITS,0,PERMITS,,,,,material,0
168,400# RIP RAP,0,400# RIP RAP,,,,,material,0
169,"2"" CLEAN (CC)",0,"2"" CLEAN","2"" CLEAN (CC",source,,,material,0
170,R400,0,R400,,,,,material,0
171,ASPHALT (BUTLERHILL),0,ASPHALT,ASPHALT (BUTLERHILL,source,,,material,0
172,R400 (ARAB),0,R400,R400 (ARAB,source,,,material,0
173,"1/2"" CLASS",0,"1/2"" CLASS",,,,,material,0
174,RIP RAP #400,0,RIP RAP #400,,,,,material,0
175,RIP RAP #400 (SEMO),0,RIP RAP #400,RIP RAP #400 (SEMO,source,,,material,0
176,"6"" MINUS (WS)",0,"6"" MINUS","6"" MINUS (WS",source,,,material,0
177,MAN SAND (WS),0,MAN SAND,MAN SAND (WS,source,,,material,0
178,PEA GRAVEL,0,PEA GRAVEL,,,,,material,0
179,"1/2"" CLEAN (ARAB)",0,"1/2"" CLEAN","1/2"" CLEAN (ARAB",source,,,material,0
180,"1"" MINUS (SHOP)",0,"1"" MINUS","1"" MINUS (SHOP",source,,,material,0
181,"1"" SCRAP ROCK (WS)",0,"1"" SCRAP ROCK","1"" SCRAP ROCK (WS",source,,,material,0
182,"1"" MINUS (ARAB)",0,"1"" MINUS","1"" MINUS (ARAB",source,,,material,0
183,DIRT (SHOP),0,DIRT,DIRT (SHOP,source,,,material,0
184,"2"" CLEAN (ARAB)",0,"2"" CLEAN","2"" CLEAN (ARAB",source,,,material,0
185,HOURLY (CONCRETE HAUL OFF),0,HOURLY,HOURLY (CONCRETE HAUL OFF,hourly_context,,,hourly_family,0
186,BASE ROCK,0,BASE ROCK,,,,,material,0
187,"1 1/2"" CLASS 7 (CQ)",0,"1 1/2"" CLASS 7","1 1/2"" CLASS 7 (CQ",source,,,material,0
188,"1"" MINUS (SEMO)",0,"1"" MINUS","1"" MINUS (SEMO",source,,,material,0
189,HAULING ROCK ONLY,0,HAULING ROCK ONLY,,,,,service_in_name,0
190,SCRAP CONCRETE,0,SCRAP CONCRETE,,,,,material,0
191,MASONARY SAND (DEXTER),0,MASONARY SAND,MASONARY SAND (DEXTER,source,,,material,0
192,TYPE 2 DITCH LINER (ARAB),0,TYPE 2 DITCH LINER,TYPE 2 DITCH LINER (ARAB,source,,,material,0
193,"6"" CLEAN COM TRAP",0,"6"" CLEAN COM TRAP",,,,,material,0
194,"1/2"" MINUS (BASEROCK)",0,"1/2"" MINUS","1/2"" MINUS (BASEROCK",source,,,material,0
195,OTHER,0,OTHER,,,,,material,0
196,HOURLY (SHINGLE GRINDER MOVE),0,HOURLY,HOURLY (SHINGLE GRINDER MOVE,hourly_context,,,hourly_family,0
197,"1"" CLEAN (HEARTLAND)",0,"1"" CLEAN","1"" CLEAN (HEARTLAND",source,,,material,0
198,"1/2"" MINUS COMM BASE (HL)",0,"1/2"" MINUS COMM BASE","1/2"" MINUS COMM BASE (HL",source,,,material,0
199,MATERIAL (WS),0,MATERIAL,MATERIAL (WS,service,,,material,0
200,MATERIAL (BRENDAKAY),0,MATERIAL,MATERIAL (BRENDAKAY,service,,,material,0
201,MATERIAL (HEARTLAND),0,MATERIAL,MATERIAL (HEARTLAND,service,,,material,0
202,MATERIAL (ARAB),0,MATERIAL,MATERIAL (ARAB,service,,,material,0
203,"1"" MINUS (WS & STRACK)",0,"1"" MINUS","1"" MINUS (WS & STRACK",source,,,material,0
204,POTASH (DYERSBURG),0,POTASH,POTASH (DYERSBURG,source,,,material,0
