244,"2 1/2"" BASE (ARAB)","2 1/2"" BASE","2 1/2"" BASE (ARAB",source,,,49
232,RIP RAP #50 (WS),RIP RAP #50,RIP RAP #50 (WS,source,,,47
123,HOURLY (BUSTED CONCRETE),HOURLY,HOURLY (BUSTED CONCRETE,hourly_context,,,46
165,ASPHALT (DELTA),ASPHALT,ASPHALT (DELTA,source,,,45
353,HOURLY (DRIVEWAYS),HOURLY,HOURLY (DRIVEWAYS,hourly_context,,,43
457,HOURLY ASPHALT 21-24 Tons,HOURLY ASPHALT 21-24 Tons,,,,,43
120,HOURLY (SHOULDERS),HOURLY,HOURLY (SHOULDERS,hourly_context,,,42
169,"2"" CLEAN (CC)","2"" CLEAN","2"" CLEAN (CC",source,,,41
267,AG-LIME (HEARTLAND) HAULING & SPREADING,AG-LIME,AG-LIME (HEARTLAND,source,,,41
151,AGLIME (WS) (SPREADING AND HAULING),AGLIME,AGLIME (WS,source,(SPREADING AND HAULING,service,40
87,HOURLY (CLEAN UP),HOURLY,HOURLY (CLEAN UP,hourly_context,,,37
207,HOURLY (MILL AND ASPHALT),HOURLY,HOURLY (MILL AND ASPHALT,hourly_context,,,37
293,HAUL BACK,HAUL BACK,,,,,37
396,"1"" CLEAN (BLUEWING PB)","1"" CLEAN","1"" CLEAN (BLUEWING PB",source,,,37
322,RED LIME (COLT R & L),RED LIME,RED LIME (COLT R & L,source,,,36
187,"1 1/2"" CLASS 7 (CQ)","1 1/2"" CLASS 7","1 1/2"" CLASS 7 (CQ",source,,,35
289,AG LIME (SPREADING ONLY),AG LIME,AG LIME (SPREADING ONLY,service,,,34
291,HOURLY EDGE TRTMNT,HOURLY EDGE TRTMNT,,,,,34
176,"6"" MINUS (WS)","6"" MINUS","6"" MINUS (WS",source,,,33
181,"1"" SCRAP ROCK (WS)","1"" SCRAP ROCK","1"" SCRAP ROCK (WS",source,,,33
4,SHINGLES,SHINGLES,,,,,31
281,"1"" MINUS (CC-VB)","1"" MINUS","1"" MINUS (CC-VB",source,,,31
417,HOURLY (HAULING MILLINGS),HOURLY,HOURLY (HAULING MILLINGS,hourly_context,,,31
468,"5/8"" TRAP (BUTLER)","5/8"" TRAP","5/8"" TRAP (BUTLER",source,,,31
97,"2"" MINUS (CC)","2"" MINUS","2"" MINUS (CC",source,,,29
166,HOURLY DIRT,HOURLY DIRT,,,,,29
404,"3"" MINUS (SEMO)","3"" MINUS","3"" MINUS (SEMO",source,,,29
83,"1"" MINUS (WS)","1"" MINUS","1"" MINUS (WS",source,,,27
86,HOURLY (ASPHALT & ROCK),HOURLY,HOURLY (ASPHALT & ROCK,hourly_context,,,27
179,"1/2"" CLEAN (ARAB)","1/2"" CLEAN","1/2"" CLEAN (ARAB",source,,,27
347,AG LIME (HEARTLAND),AG LIME,AG LIME (HEARTLAND,source,,,27
352,"3/8"" PUG ROCK (CANE CREEK)","3/8"" PUG ROCK","3/8"" PUG ROCK (CANE CREEK",source,,,27
398,OVERSIZED GRAVEL (DEXTER),OVERSIZED GRAVEL,OVERSIZED GRAVEL (DEXTER,source,,,27
85,SAND,SAND,,,,,26
57,FUEL,FUEL,,,,,25
290,SAND (BUTLER),SAND,SAND (BUTLER,source,,,25
397,HOURLY (SHOULDERS/DRIVEWAYS),HOURLY,HOURLY (SHOULDERS/DRIVEWAYS,hourly_context,,,22
276,RAP (WP),RAP,RAP (WP,source,,,21
93,DIRT (WS),DIRT,DIRT (WS,source,,,20
34,"1"" CLEAN (ARAB)","1"" CLEAN","1"" CLEAN (ARAB",source,,,19
49,GABIAN STONE,GABIAN STONE,,,,,19
76,"1/2"" MINUS (ARAB)","1/2"" MINUS","1/2"" MINUS (ARAB",source,,,19
140,PERMIT,PERMIT,,,,,19
242,SAND (DONIPHAN/ICM),SAND,SAND (DONIPHAN/ICM,source,,,19
430,"1"" BASE (ICM-Houston)","1"" BASE","1"" BASE (ICM-Houston",source,,,19
16,"1"" BASE (CQ)","1"" BASE","1"" BASE (CQ",source,,,18
310,"2 1/2"" LATERAL (ARAB)","2 1/2"" LATERAL","2 1/2"" LATERAL (ARAB",source,,,18
380,HOURLY (ASPHALT/PLANT DOWN),HOURLY,HOURLY (ASPHALT/PLANT DOWN,hourly_context,,,18
360,HOURLY JOB 23002.2 ACCIDENT 1000002,HOURLY JOB 23002.2 ACCIDENT 1000002,,,,,17
488,"3/8"" CLEAN (VB Bluewing)","3/8"" CLEAN","3/8"" CLEAN (VB Bluewing",source,,,17
21,CONCRETE SAND,CONCRETE SAND,,,,,16
71,AGLIME (STOCKPILE),AGLIME,AGLIME (STOCKPILE,source,,,16
109,"1"" MINUS (STOCKPILE)","1"" MINUS","1"" MINUS (STOCKPILE",source,,,16
266,EDGE TREATMENT,EDGE TREATMENT,,,,,16
268,TRIP PERMIT,TRIP PERMIT,,,,,16
279,SCREENGINGS (ARAB),SCREENGINGS,SCREENGINGS (ARAB,source,,,16
392,HOURLY (CLEAN UP/HAUL BACK),HOURLY,HOURLY (CLEAN UP/HAUL BACK,hourly_context,,,16
432,"1"" BASE (TAX EXEMPT) ICM-Arab","1"" BASE","1"" BASE (TAX EXEMPT",source,,,16
434,"2"" CLEAN (BLUEWING PB)","2"" CLEAN","2"" CLEAN (BLUEWING PB",source,,,16
496,"2"" CLEAN (BASE ROCK)","2"" CLEAN","2"" CLEAN (BASE ROCK",source,,,16
2,"1"" MINUS","1"" MINUS",,,,,15
29,"1"" MINUS (BASE ROCK)","1"" MINUS","1"" MINUS (BASE ROCK",source,,,15
145,"1/5"" BASE (WS)","1/5"" BASE","1/5"" BASE (WS",source,,,15
231,1/5 BASE CC,1/5 BASE CC,,,,,15
