223,HOURLY (SKIDSTEER),0,4
469,HOURLY HOLD TIME ,,4
164,MORTAR SAND (BRENDAKAY),0,4
328,MOVING LAB TRAILER,,4
112,MULCH,0,4
132,SHOW UP,0,4
370,"1"" BASE COLT",,3
284,"1"" C (BACKHAUL)",0,3
203,"1"" MINUS (WS & STRACK)",0,3
117,"1"" MINUS GRAY (ARAB)",0,3
474,"1/4
1/4"" MINUS (BLUEWING PB)",,3
110,"2"" BASE (CAPITAL)",0,3
246,"2"" MINUS",0,3
212,"3"" CLEAN (CC)",0,3
425,"3/8"" CLEAN (FRUITLAND ASPHALT)",,3
168,400# RIP RAP,0,3
274,AG LIME (STRACK-RED),0,3
150,ASPAHLT SAND (STATE) (BRENDA KAY),0,3
135,DIRT (SAND PIT),0,3
237,EXCAVATOR WORK,0,3
100,FILL SAND,0,3
114,FILL SAND (WS),0,3
125,"FR 1/4"" MINUS (SEMO)",0,3
273,GYPSUM,0,3
364,HOURLY  MILL DRIVEWAYS,,3
344,HOURLY (CLEAN UP PLANT),,3
185,HOURLY (CONCRETE HAUL OFF),0,3
67,HOURLY (CONCRETE),0,3
453,HOURLY (MILLING-SHOULDERS),,3
481,HOURLY (SAND) FARMINGTON,,3
484,HOURLY (SHINGLES) FARMINGTON,,3
460,HOURLY (SHOULDERS/RAMPS),,3
369,HOURLY MAN SAND,,3
368,HOURLY REJECTED LOAD ,,3
118,LANDSCAPE BLEND (BRENDA) 1 1/8,0,3
433,OVERSIZE GRAVEL(BLUEWING),,3
131,PLANT MOVE,0,3
175,RIP RAP #400 (SEMO),0,3
292,SAND (MALDEN),0,3
47,SAWDUST,0,3
419,SHINGLES (WEST PLAINS),,3
137,SKID STEER WORK,0,3
192,TYPE 2 DITCH LINER (ARAB),0,3
129,WASTE CONCRETE (SEMO CONCRETE),0,3
108,WASTE ROCK,0,3
389,WOOD CHIPS/MULCH (ELLSINORE),,3
306,"1.5"" GRAVEL (BK)",0,2
146,"1"" MINUS (SEMO STONE)",0,2
235,"1/2"" CLEAN",0,2
24,"1/2"" MINUS",0,2
253,"2"" BASE (VBS)",0,2
449,"2"" MINUS (BASE ROCK)",,2
