(BRENDA KAY
(SANDP
(STRAIGHT
(VBR
(WS
"1 1/2"" CLASS 7 (CQ"
"1 1/2"" CLEAN GRAVEL (WS"
1 1/8 LNDSCP BLND (BK
"1.5"" GRAVEL (BK"
AGLIME (HL
AGLIME (JACKSON QUARRY
AGLIME (SCAGGS
AGLIME (STOCKPILE
AGLIME (STRACK
AGLIME (WS
ASPAHLT (ESS
ASPAHLT SAND (STATE
ASPHALT (BUTLERHILL
ASPHALT (DELTA
ASPHALT (DELTA DEXTER
ASPHALT (FRUITLAND
ASPHALT (MINERAL AREA
ASPHALT (ROBERTSON
ASPHALT SAND (BRENDA KAY
BEDDING MATERIAL (BW
BIT BASE (FRUITLAND
CC FEE (3%
CLASS 7 BASE (BW
CLAY BASE (ICM-ARAB
CLAY STRIPPING (WS
COLD MIX (WS
CONCRETE SAND (BRENDA KAY
CONCRETE SAND (DEXTER
CREEK GRAVEL (WS
DIRT (PITS
DIRT (SAND PIT
DIRT (SHOP
DIRT (WS
DRIVE TIME (PER KYLE
FILL SAND (BRENDA KAY
FILL SAND (WS
"FR 1/2"" (SEMO"
"FR 1/2"" DOLOMITE (SEMO"
"FR 1/4"" MINUS (SEMO"
GABION 4X6 (BR
GABION STONE (BLUEWING
GABION STONE (WS
GYPSUM (PRAIRIE STATE
HRLY ASPH (HEAVY HAUL
HRLY MILL (END DUMP
HUB OIL (NAPA
JAW ROCK (ICM
LANDSCAPE BLEND (BRENDA
MAN SAND (WS
MASONARY SAND (BK
MASONARY SAND (DEXTER
MFG SAND (IRON MNT.
MORTAR SAND (BRENDAKAY
MORTAR SAND (DEXTER
OVERSIZE GRAVEL (WS
OVERSIZE GRAVEL(BLUEWING
OVERSIZED GRAVEL (DEXTER
OVERSIZED WASH GRAVEL (WS
PEA GRAVEL (BK
PEA GRAVEL (CLN
PEA GRAVEL (DEXTER SAND
PEA GRAVEL (DRTY
POTASH (DYERSBURG
R400 (ARAB
RAP (PB
RAP (WILLOW
RAP (WP
RED LIME (COLT R & L
RED LIME (SCAGGS
RIP RAP (#50
RIP RAP (#90
RIP RAP (ARAB
RIP RAP #200 (BW
RIP RAP #200 (WS
RIP RAP #400 (SEMO
RIP RAP #50 (WS
RIPRAP (CC
ROCK (BASE ROCK
ROCK (BUTLER
ROCK (CANE CREEK
ROCK (STOCKPILE
SAND (BK
SAND (BUTLER
SAND (CERTAINTEED
SAND (DONIPHAN/ICM
SAND (FRUITLAND ASPHALT
SAND (MALDEN
SAND (WS
SCREEINGS (DON
SCREENGINGS (ARAB
SCREENING (DONIPHAN
SCREENINGS (DONIPHAN
SCREENINGS/TURKEY GRIT (ICM
SERF LEVELING (FRUITLAND
SHINGLES (ARAB
SHINGLES (PB
SHINGLES (PEACHSTREET
SHINGLES (WEST PLAINS
SLATE LANDSCAPING ROCK (SEMO LAND DESIGNS
STATE CONCRETE SAND (DEXTER
TOPSOIL (ICM
TOPSOIL (WS
TRADE (HAY BALES
TRAP SAND (BUTLER
TRAP SAND (IRON MTN
TYPE 1/5 (COLT
TYPE 1/5 (SEMO
TYPE 1/5 BASE (BW
TYPE 1/5 BASE (CC
TYPE 1/5 BASE (VB
TYPE 1/5 BASE (WS
TYPE 2 DITCH LINER (ARAB
TYPE 2 ROCK BLANKET (BW
TYPE 5 (BASE ROCK
TYPE 5 (BASE ROCK FRT.LND.
TYPE 5 (FISCHER
TYPE 5 (ICM-ARAB
TYPE 5 BASE (CAPITAL
TYPE 5 BASE (MANSFIELD
TYPE V BASE (ICM-W. PLAINS
WASH MANUFACTURED (TRAP
"WASHED 1"" OPEN (DEXTER"
WASHED PEA GRAVEL (ICM-DONIPHAN
WASHED SAND (DONIPHAN
WASTE CONCRETE (SEMO CONCRETE
WOOD CHIPS/MULCH (ELLSINORE
