LegacyID,LoadCount,LegacyDescription,ProposedBase,Source,Service,ProposedDisplay,Flags
87,37,HOURLY (CLEAN UP),CLEAN UP,,HOURLY,CLEAN UP (HOURLY),
207,37,HOURLY (MILL AND ASPHALT),MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
293,37,HAUL BACK,HAUL BACK,,,HAUL BACK,
396,37,1" CLEAN (BLUEWING PB),1" CLEAN,BLUEWING PB,,1" CLEAN (BLUEWING PB),
322,36,RED LIME (COLT R & L),RED LIME,COLT R & L,,RED LIME (COLT R & L),
187,35,1 1/2" CLASS 7 (CQ),1 1/2" CLASS 7,CQ,,1 1/2" CLASS 7 (CQ),
289,34,AG LIME (SPREADING ONLY),AG LIME,,SPREADING,AG LIME (SPREADING),
291,34,HOURLY EDGE TRTMNT,EDGE TRTMNT,,HOURLY,EDGE TRTMNT (HOURLY),
176,33,6" MINUS (WS),6" MINUS,WS,,6" MINUS (WS),
181,33,1" SCRAP ROCK (WS),1" SCRAP ROCK,WS,,1" SCRAP ROCK (WS),
4,31,SHINGLES,SHINGLES,,,SHINGLES,
281,31,1" MINUS (CC-VB),1" MINUS,CC-VB,,1" MINUS (CC-VB),
417,31,HOURLY (HAULING MILLINGS),HAULING MILLINGS,,HOURLY,HAULING MILLINGS (HOURLY),
468,31,5/8" TRAP (BUTLER),5/8" TRAP,BUTLER,,5/8" TRAP (BUTLER),
97,29,2" MINUS (CC),2" MINUS,CC,,2" MINUS (CC),
166,29,HOURLY DIRT,DIRT,,HOURLY,DIRT (HOURLY),
404,29,3" MINUS (SEMO),3" MINUS,SEMO,,3" MINUS (SEMO),
83,27,1" MINUS (WS),1" MINUS,WS,,1" MINUS (WS),
86,27,HOURLY (ASPHALT & ROCK),ASPHALT & ROCK,,HOURLY,ASPHALT & ROCK (HOURLY),combo_activity
179,27,1/2" CLEAN (ARAB),1/2" CLEAN,ARAB,,1/2" CLEAN (ARAB),
347,27,AG LIME (HEARTLAND),AG LIME,HEARTLAND,,AG LIME (HEARTLAND),
352,27,3/8" PUG ROCK (CANE CREEK),3/8" PUG ROCK,CANE CREEK,,3/8" PUG ROCK (CANE CREEK),
398,27,OVERSIZED GRAVEL (DEXTER),OVERSIZED GRAVEL,DEXTER,,OVERSIZED GRAVEL (DEXTER),
85,26,SAND,SAND,,,SAND,
57,25,FUEL,FUEL,,,FUEL,
290,25,SAND (BUTLER),SAND,BUTLER,,SAND (BUTLER),
397,22,HOURLY (SHOULDERS/DRIVEWAYS),SHOULDERS/DRIVEWAYS,,HOURLY,SHOULDERS/DRIVEWAYS (HOURLY),
276,21,RAP (WP),RAP,WP,,RAP (WP),
93,20,DIRT (WS),DIRT,WS,,DIRT (WS),
34,19,1" CLEAN (ARAB),1" CLEAN,ARAB,,1" CLEAN (ARAB),
49,19,GABIAN STONE,GABION STONE,,,GABION STONE,
76,19,1/2" MINUS (ARAB),1/2" MINUS,ARAB,,1/2" MINUS (ARAB),
140,19,PERMIT,PERMIT,,,PERMIT,
242,19,SAND (DONIPHAN/ICM),SAND,DONIPHAN/ICM,,SAND (DONIPHAN/ICM),
430,19,1" BASE (ICM-Houston),1" BASE,ICM-HOUSTON,,1" BASE (ICM-HOUSTON),
16,18,1" BASE (CQ),1" BASE,CQ,,1" BASE (CQ),
310,18,2 1/2" LATERAL (ARAB),2 1/2" LATERAL,ARAB,,2 1/2" LATERAL (ARAB),
380,18,HOURLY (ASPHALT/PLANT DOWN),ASPHALT/PLANT DOWN,,HOURLY,ASPHALT/PLANT DOWN (HOURLY),combo_activity
360,17,HOURLY JOB 23002.2 ACCIDENT 1000002,JOB 23002.2 ACCIDENT 1000002,,HOURLY,JOB 23002.2 ACCIDENT 1000002 (HOURLY),
488,17,3/8" CLEAN (VB Bluewing),3/8" CLEAN,VB BLUEWING,,3/8" CLEAN (VB BLUEWING),
21,16,CONCRETE SAND,CONCRETE SAND,,,CONCRETE SAND,
71,16,AGLIME (STOCKPILE),AGLIME,,,AGLIME,context_tag:STOCKPILE
109,16,1" MINUS (STOCKPILE),1" MINUS,,,1" MINUS,context_tag:STOCKPILE
266,16,EDGE TREATMENT,EDGE TREATMENT,,,EDGE TREATMENT,
268,16,TRIP PERMIT,TRIP PERMIT,,,TRIP PERMIT,
279,16,SCREENGINGS (ARAB),SCREENINGS,ARAB,,SCREENINGS (ARAB),
392,16,HOURLY (CLEAN UP/HAUL BACK),CLEAN UP/HAUL BACK,,HOURLY,CLEAN UP/HAUL BACK (HOURLY),
432,16,1" BASE (TAX EXEMPT) ICM-Arab,1" BASE,,,1" BASE,context_tag:TAX EXEMPT; unhandled_trailing:ICM-Arab
434,16,2" CLEAN (BLUEWING PB),2" CLEAN,BLUEWING PB,,2" CLEAN (BLUEWING PB),
496,16,2" CLEAN (BASE ROCK),2" CLEAN,BASE ROCK,,2" CLEAN (BASE ROCK),
2,15,1" MINUS,1" MINUS,,,1" MINUS,
29,15,1" MINUS (BASE ROCK),1" MINUS,BASE ROCK,,1" MINUS (BASE ROCK),
145,15,1/5" BASE (WS),1/5" BASE,WS,,1/5" BASE (WS),
231,15,1/5 BASE CC,1/5 BASE CC,,,1/5 BASE CC,
470,15,HOURLY (HAULING SHINGLES),HAULING SHINGLES,,HOURLY,HAULING SHINGLES (HOURLY),
451,14,1/2" CLEAN (ICM-HOUSTON),1/2" CLEAN,ICM-HOUSTON,,1/2" CLEAN (ICM-HOUSTON),
40,13,HOURLY (HAULBACK),HAULBACK,,HOURLY,HAULBACK (HOURLY),
122,13,HOURLY (PLANTMOVE),PLANTMOVE,,HOURLY,PLANTMOVE (HOURLY),
366,13,HOURLY ROCK (ICM-WP),ROCK,ICM-WP,HOURLY,ROCK (ICM-WP) (HOURLY),
492,13,AG LIME (MAT, HAUL, SPRD) BaseRock,AG LIME,,HAULING AND SPREADING,AG LIME (HAULING AND SPREADING),trailing_context:BASEROCK
56,12,AGLIME,AGLIME,,,AGLIME,
61,12,AGLIME (HL),AGLIME,HL,,AGLIME (HL),
74,12,3" MINUS (CC),3" MINUS,CC,,3" MINUS (CC),
98,12,1" BASE,1" BASE,,,1" BASE,
270,12,HRLY MILL (END DUMP),MILLING,END DUMP,HOURLY,MILLING (END DUMP) (HOURLY),normalized_to_milling_from_original
431,12,2" MINUS (BLUEWING PB),2" MINUS,BLUEWING PB,,2" MINUS (BLUEWING PB),
446,12,CONCRETE SAND (BRENDA KAY),CONCRETE SAND,BRENDA KAY,,CONCRETE SAND (BRENDA KAY),
43,11,HOURLY (ROCK HAUL),ROCK HAUL,,HOURLY,ROCK HAUL (HOURLY),
133,11,HOURLY (PATCHES),PATCHES,,HOURLY,PATCHES (HOURLY),
182,11,1" MINUS (ARAB),1" MINUS,ARAB,,1" MINUS (ARAB),
211,11,HOURLY (HAUL OFF),HAUL OFF,,HOURLY,HAUL OFF (HOURLY),
222,11,3/8" CLEAN (CC),3/8" CLEAN,CC,,3/8" CLEAN (CC),
